variant,seed,mask_seed,grid_index,n,accuracy,macro_f1,mae,pearson_r
T0,2026,5101,62,679,0.47717231222385864,0.47228171804137153,0.6925132145586702,0.43165517403656295
T0,2026,5102,0,679,0.5625920471281296,0.5340158547321292,0.6233347620985118,0.5712632363658047
T0,2026,5102,1,679,0.5493372606774669,0.5230486509361635,0.6426614798133609,0.5120840972912337
T0,2026,5102,2,679,0.5169366715758469,0.4960178992623089,0.6851448331560407,0.43229806009400906
T0,2026,5102,3,679,0.5640648011782032,0.5359850021615092,0.6284408291283342,0.578575908792585
T0,2026,5102,4,679,0.5552282768777614,0.5331744267999732,0.6550890519798065,0.5127883204966706
T0,2026,5102,5,679,0.4845360824742268,0.4764327880814624,0.693127829982009,0.4129405470887206
T0,2026,5102,6,679,0.5773195876288659,0.5591328849531328,0.6125063538463548,0.609994277306284
T0,2026,5102,7,679,0.5125184094256259,0.5080300389961013,0.6648905198028056,0.5034461251267238
T0,2026,5102,8,679,0.4491899852724595,0.4446777586536623,0.7026963098981419,0.4318483923945867
T0,2026,5102,9,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,10,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,11,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,12,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,13,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,14,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,15,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,16,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,17,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,18,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,19,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,20,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,21,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,22,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,23,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,24,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,25,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,26,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,27,679,0.5655375552282769,0.5364828871494661,0.6260334987396344,0.576990351620637
T0,2026,5102,28,679,0.5478645066273933,0.5258070329284772,0.6459466534528184,0.5092900096270448
T0,2026,5102,29,679,0.4948453608247423,0.47339453237703455,0.6901840056691851,0.4227598749644036
T0,2026,5102,30,679,0.5655375552282769,0.5385223525803235,0.6195496877707508,0.5839239819666581
T0,2026,5102,31,679,0.5714285714285714,0.549784210005271,0.6440776073879978,0.5093893698687135
T0,2026,5102,32,679,0.49779086892488955,0.49201534609143305,0.6815245822620672,0.44243121454555834
T0,2026,5102,33,679,0.5714285714285714,0.5534002335774135,0.6172901867766795,0.589558636282307
T0,2026,5102,34,679,0.5213549337260678,0.5085781372984849,0.6561383281303611,0.5162214638425966
T0,2026,5102,35,679,0.4698085419734904,0.46378572788619543,0.6995883927034524,0.4236632525550684
T0,2026,5102,36,679,0.5699558173784978,0.5433011133776857,0.6073626830010772,0.6039951690835261
T0,2026,5102,37,679,0.5596465390279823,0.5317975507808526,0.6497764372553495,0.4993878864835664
T0,2026,5102,38,679,0.4963181148748159,0.47719313851253287,0.6882545707283736,0.42582492175508846
T0,2026,5102,39,679,0.5596465390279823,0.5343489018696176,0.6227695909225888,0.5620307276823548
T0,2026,5102,40,679,0.5493372606774669,0.5247513992657616,0.665298532667146,0.47963965612444903
T0,2026,5102,41,679,0.5066273932253313,0.5024213551422337,0.6782643631078709,0.43775478558277925
T0,2026,5102,42,679,0.5758468335787923,0.5591125072384443,0.6137247572108466,0.5959680989894584
T0,2026,5102,43,679,0.508100147275405,0.49888694502570025,0.6617244976916966,0.5061965600906592
T0,2026,5102,44,679,0.4639175257731959,0.4593609912877106,0.6976114741481281,0.4404901949555982
T0,2026,5102,45,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,46,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
T0,2026,5102,47,679,0.6008836524300442,0.5765900189187768,0.5942060997893428,0.634988517500659
