variant,seed,rule,neutral_bias,condition,inconsistency_rate_all_conditions,accuracy,macro_f1,mae,pearson_r
T1,2030,dual_raw,0,clean,0.17848266119241551,0.6181318681318682,0.5766216802405775,0.6064902327207664,0.6376647163062283
T1,2030,dual_raw,0,stress,0.17848266119241551,0.6001120550105312,0.5545839172805132,0.6316087281182038,0.5926386703359219
T1,2030,dual_calibrated,0.3,clean,0.25571816435997613,0.614010989010989,0.5892144720076471,0.6064902327207664,0.6376647163062283
T1,2030,dual_calibrated,0.3,stress,0.25571816435997613,0.59472726308408,0.5689777786645392,0.6316087281182038,0.5926386703359219
M0,2026,unified,0,clean,0.0,0.5796703296703297,0.5671695372505984,0.6144052068037646,0.6014054656378073
M0,2026,unified,0,stress,0.0,0.5405463864109574,0.5245510557894973,0.6553368864690196,0.5282070129207854
M0,2026,dual_raw,0,clean,0.3053749199832241,0.6098901098901099,0.5811842503997113,0.6252323446992355,0.6058045559848729
M0,2026,dual_raw,0,stress,0.3053749199832241,0.5638262168046803,0.5347298325206704,0.6649681596485868,0.5351662949493473
M0,2026,dual_calibrated,0.3,clean,0.32014215394124007,0.6098901098901099,0.584473314949062,0.6252323446992355,0.6058045559848729
M0,2026,dual_calibrated,0.3,stress,0.32014215394124007,0.5607384511659491,0.5337255345995459,0.6649681596485868,0.5351662949493473
M0,2027,unified,0,clean,0.0,0.5947802197802198,0.5826996032880889,0.613036185994253,0.6193081357550357
M0,2027,unified,0,stress,0.0,0.5505164058187217,0.5388791194613846,0.6624159913476532,0.5411235865023606
M0,2027,dual_raw,0,clean,0.24678277376774166,0.6043956043956044,0.566532579877051,0.6252093491701609,0.6193147400923863
M0,2027,dual_raw,0,stress,0.24678277376774166,0.5671199708185962,0.5323306103971094,0.6718274826177731,0.546727125462444
M0,2027,dual_calibrated,-0.2,clean,0.2410745425247776,0.6085164835164835,0.5704664993063908,0.6252093491701609,0.6193147400923863
M0,2027,dual_calibrated,-0.2,stress,0.2410745425247776,0.5674494333648388,0.5312458700904309,0.6718274826177731,0.546727125462444
M0,2028,unified,0,clean,0.0,0.5947802197802198,0.5720934255900093,0.6233712199379454,0.6131670958085749
M0,2028,unified,0,stress,0.0,0.5489285911492611,0.5279602099341967,0.6568517203364981,0.549888075692193
M0,2028,dual_raw,0,clean,0.3282078449550802,0.6236263736263736,0.6052707084299193,0.6311756790849729,0.613900592470757
M0,2028,dual_raw,0,stress,0.3282078449550802,0.5737035346303622,0.5551158789074975,0.6643680677261995,0.5517807077232617
M0,2028,dual_calibrated,0.0,clean,0.3282078449550802,0.6236263736263736,0.6052707084299193,0.6311756790849729,0.613900592470757
M0,2028,dual_calibrated,0.0,stress,0.3282078449550802,0.5737035346303622,0.5551158789074975,0.6643680677261995,0.5517807077232617
M0,2029,unified,0,clean,0.0,0.6043956043956044,0.5710015805375199,0.6144304925801007,0.6088015265320006
M0,2029,unified,0,stress,0.0,0.5573291144425843,0.5204662746040134,0.6573431977050204,0.5337285379356789
M0,2029,dual_raw,0,clean,0.25750612542215745,0.5947802197802198,0.557728927343015,0.6215551719803473,0.6077219696718041
M0,2029,dual_raw,0,stress,0.25750612542215745,0.5744142922390046,0.540429764187753,0.662119428202553,0.5357429159482048
M0,2029,dual_calibrated,0.3,clean,0.3166501114716465,0.5989010989010989,0.5795334760678464,0.6215551719803473,0.6077219696718041
M0,2029,dual_calibrated,0.3,stress,0.3166501114716465,0.5659905188802605,0.545597780313115,0.662119428202553,0.5357429159482048
M0,2030,unified,0,clean,0.0,0.5728021978021978,0.5562221308378187,0.6156781636751615,0.5984968381558423
M0,2030,unified,0,stress,0.0,0.5447935252582772,0.5237374636888316,0.6597188420019436,0.5214213304634683
M0,2030,dual_raw,0,clean,0.37378540052535153,0.5769230769230769,0.5629754807567137,0.6265082514280669,0.6001372186372691
M0,2030,dual_raw,0,stress,0.37378540052535153,0.5421782248572876,0.5282998095733702,0.6688729366823366,0.5240734368982564
M0,2030,dual_calibrated,0.0,clean,0.37378540052535153,0.5769230769230769,0.5629754807567137,0.6265082514280669,0.6001372186372691
M0,2030,dual_calibrated,0.0,stress,0.37378540052535153,0.5421782248572876,0.5282998095733702,0.6688729366823366,0.5240734368982564
M1,2026,unified,0,clean,0.0,0.5782967032967034,0.5452080404735231,0.6139737399970437,0.6149941799422645
M1,2026,unified,0,stress,0.0,0.5567364842636482,0.5195050543642814,0.6416546721327697,0.575373671266571
M1,2026,dual_raw,0,clean,0.3082621459947465,0.5851648351648352,0.5552580470801921,0.6210005646469173,0.6186471929585969
M1,2026,dual_raw,0,stress,0.3082621459947465,0.567549375096205,0.5365144022193489,0.6472019674526729,0.5797023702365498
M1,2026,dual_calibrated,-0.1,clean,0.27672339580160255,0.5989010989010989,0.5636874216847843,0.6210005646469173,0.6186471929585969
M1,2026,dual_calibrated,-0.1,stress,0.27672339580160255,0.5731410533704427,0.5376236259113086,0.6472019674526729,0.5797023702365498
M1,2027,unified,0,clean,0.0,0.5769230769230769,0.5548895627971171,0.6189251145614045,0.5726090151753933
M1,2027,unified,0,stress,0.0,0.5496024692028345,0.5221981521066286,0.6547799086935998,0.5250310172924338
M1,2027,dual_raw,0,clean,0.27580071959914354,0.5796703296703297,0.5540004387522118,0.6246791881452197,0.5781954964740973
M1,2027,dual_raw,0,stress,0.27580071959914354,0.5588303186421332,0.5261782090219358,0.6609050791634477,0.5285981452003883
M1,2027,dual_calibrated,-0.3,clean,0.2617663289406883,0.5879120879120879,0.5617827807598903,0.6246791881452197,0.5781954964740973
M1,2027,dual_calibrated,-0.3,stress,0.2617663289406883,0.5618925019577213,0.5263887830875791,0.6609050791634477,0.5285981452003883
M1,2028,unified,0,clean,0.0,0.5576923076923077,0.542487364574005,0.6236618353401894,0.5858438965633643
M1,2028,unified,0,stress,0.0,0.5385400819027238,0.5232981175402998,0.6464737577722965,0.5476374090877888
M1,2028,dual_raw,0,clean,0.3520075933161159,0.5659340659340659,0.5559630218628212,0.6279986442231758,0.5941892109363411
M1,2028,dual_raw,0,stress,0.3520075933161159,0.5592404659504437,0.5461120287793055,0.6507219284750067,0.555171507707228
M1,2028,dual_calibrated,-0.2,clean,0.2935258150674348,0.6057692307692307,0.5888394616434389,0.6279986442231758,0.5941892109363411
M1,2028,dual_calibrated,-0.2,stress,0.2935258150674348,0.576441227541649,0.5545927188803971,0.6507219284750067,0.555171507707228
M1,2029,unified,0,clean,0.0,0.5631868131868132,0.5493910414662015,0.6087387579974237,0.6004341842090478
M1,2029,unified,0,stress,0.0,0.5428468860428596,0.5294628887606081,0.6473289970495641,0.5525283143043915
M1,2029,dual_raw,0,clean,0.2773591152903781,0.5879120879120879,0.5637485401684185,0.6207318403511846,0.5993902169867967
M1,2029,dual_raw,0,stress,0.2773591152903781,0.5657574542365479,0.5403374210924353,0.657113341315077,0.5550961117738544
M1,2029,dual_calibrated,-0.3,clean,0.257629737544975,0.5947802197802198,0.5672965804409978,0.6207318403511846,0.5993902169867967
M1,2029,dual_calibrated,-0.3,stress,0.257629737544975,0.5687282487601522,0.53894103565759,0.657113341315077,0.5550961117738544
M1,2030,unified,0,clean,0.0,0.5755494505494505,0.5671949865498253,0.6062603391870692,0.6034647888863719
M1,2030,unified,0,stress,0.0,0.5518763770837477,0.5408726644727715,0.6508727032557593,0.5510792345904837
M1,2030,dual_raw,0,clean,0.2343023640818489,0.5906593406593407,0.5519008874325055,0.6161832502644297,0.6057287568507461
M1,2030,dual_raw,0,stress,0.2343023640818489,0.5632156304109468,0.5194460004822129,0.6590574432939357,0.554228950133635
M1,2030,dual_calibrated,0.3,clean,0.2428889918989912,0.5879120879120879,0.5500744589723195,0.6161832502644297,0.6057287568507461
M1,2030,dual_calibrated,0.3,stress,0.2428889918989912,0.5627841734185931,0.5218229742943837,0.6590574432939357,0.554228950133635
M2,2026,unified,0,clean,0.0,0.5989010989010989,0.577272733143155,0.6213056989791956,0.6086057259587135
M2,2026,unified,0,stress,0.0,0.5551561802731839,0.5331654298496653,0.6605678669807096,0.5424495195494574
M2,2026,dual_raw,0,clean,0.2838399223009514,0.5796703296703297,0.5479771736887432,0.6302267929646544,0.6101743922556511
M2,2026,dual_raw,0,stress,0.2838399223009514,0.5622015171834124,0.5282950851503128,0.6663817846946681,0.5462415372832019
M2,2026,dual_calibrated,0.3,clean,0.29397170165331216,0.5879120879120879,0.5600807574996296,0.6302267929646544,0.6101743922556511
M2,2026,dual_calibrated,0.3,stress,0.29397170165331216,0.5608929594041244,0.5288069190325358,0.6663817846946681,0.5462415372832019
M2,2027,unified,0,clean,0.0,0.592032967032967,0.5791065496554118,0.6218207851052284,0.597041852793117
M2,2027,unified,0,stress,0.0,0.5468178930212284,0.535958383913027,0.6614376764184748,0.5290801516426744
M2,2027,dual_raw,0,clean,0.23948965852151072,0.5989010989010989,0.5560858428407923,0.6317092407428261,0.6020718366973674
M2,2027,dual_raw,0,stress,0.23948965852151072,0.5658845268590993,0.5286454018524014,0.6700724734777258,0.5357733514054112
M2,2027,dual_calibrated,0.3,clean,0.24812043352537358,0.6043956043956044,0.565907755891304,0.6317092407428261,0.6020718366973674
M2,2027,dual_calibrated,0.3,stress,0.24812043352537358,0.5648523937615051,0.5299206784076435,0.6700724734777258,0.5357733514054112
M2,2028,unified,0,clean,0.0,0.6167582417582418,0.5903718307251469,0.6115699356810732,0.6093550152725926
M2,2028,unified,0,stress,0.0,0.5664318501848025,0.5386322591811423,0.6583098871503491,0.5409347325184063
M2,2028,dual_raw,0,clean,0.25405823013928436,0.6085164835164835,0.5811917553772897,0.621920811920043,0.6116389975623551
M2,2028,dual_raw,0,stress,0.25405823013928436,0.5681106747059289,0.5370232344550326,0.6648493246170942,0.5466657017047186
M2,2028,dual_calibrated,-0.2,clean,0.2491181599452575,0.6112637362637363,0.5833414193336662,0.621920811920043,0.6116389975623551
M2,2028,dual_calibrated,-0.2,stress,0.2491181599452575,0.5693850677086387,0.5373893014628626,0.6648493246170942,0.5466657017047186
M2,2029,unified,0,clean,0.0,0.6002747252747253,0.5934928363394981,0.5934151406553421,0.6216189780305981
M2,2029,unified,0,stress,0.0,0.5453435358705601,0.5381595578458166,0.6411813578865126,0.5443295970760675
M2,2029,dual_raw,0,clean,0.2795046685649957,0.6085164835164835,0.5829164662991216,0.6062638813710981,0.6223272320207641
M2,2029,dual_raw,0,stress,0.2795046685649957,0.5591496980731313,0.5327386697975414,0.6500787448215064,0.5494909810838672
M2,2029,dual_calibrated,0.3,clean,0.290598856587864,0.6057692307692307,0.5826924092843653,0.6062638813710981,0.6223272320207641
M2,2029,dual_calibrated,0.3,stress,0.290598856587864,0.5587381550825316,0.5345667570712028,0.6500787448215064,0.5494909810838672
M2,2030,unified,0,clean,0.0,0.5947802197802198,0.5766309120665265,0.6134480416651938,0.611987504420515
M2,2030,unified,0,stress,0.0,0.5678441417076784,0.5472867228048586,0.650827058617447,0.5473356018956484
M2,2030,dual_raw,0,clean,0.3109286360726663,0.5810439560439561,0.5613594179839934,0.6186259010156481,0.6152239078415059
M2,2030,dual_raw,0,stress,0.3109286360726663,0.5587723918834848,0.5322198259098807,0.6554134283603209,0.55124757214683
M2,2030,dual_calibrated,0.3,clean,0.32074255568063925,0.5837912087912088,0.565436933389333,0.6186259010156481,0.6152239078415059
M2,2030,dual_calibrated,0.3,stress,0.32074255568063925,0.5562716286779231,0.5314212183730811,0.6554134283603209,0.55124757214683
M3,2026,unified,0,clean,0.0,0.5796703296703297,0.5608017816527852,0.6319047608054601,0.5948759504570155
M3,2026,unified,0,stress,0.0,0.5524990211689566,0.5340904599716875,0.6693061059694994,0.5434244720640308
M3,2026,dual_raw,0,clean,0.2022603359600909,0.5686813186813187,0.5275222736924936,0.6434960646176158,0.5948332665662408
M3,2026,dual_raw,0,stress,0.2022603359600909,0.5558454903021717,0.5172576762146888,0.6781516404259115,0.545344589944584
M3,2026,dual_calibrated,-0.1,clean,0.19868882855440037,0.5714285714285714,0.5295032271776458,0.6434960646176158,0.5948332665662408
M3,2026,dual_calibrated,-0.1,stress,0.19868882855440037,0.556225161558105,0.5166326512380796,0.6781516404259115,0.545344589944584
M3,2027,unified,0,clean,0.0,0.5837912087912088,0.5657061241793078,0.6103013909861936,0.5972840434802783
