variant,seed,mask_seed,missing_mode,position,span_fraction,n,infeasible_n,naturally_absent_n,support_negative,support_neutral,support_positive,mean_removed_steps_per_target_modality,actual_removed_observation_rate,actual_span_fraction,unique_mask_realizations_mean,one_feasible_start_n,accuracy,macro_f1,mae,pearson_r,delta_mae,delta_macro_f1
T0,2026,5101,text+vision,late,0.55,699,29,15,200,175,324,12.88412017167382,0.5492332325965569,0.5502762229921914,1.848354792560801,194,0.463519313304721,0.4591874716675822,0.703184444590529,0.4180835396580814,0.1076530923318113,-0.11322796351436404
T0,2026,5101,audio+vision,early,0.15,695,33,15,201,174,320,3.537410071942446,0.1536881139898032,0.15162910284899678,3.4431654676258994,9,0.5985611510791367,0.5737140667570815,0.593293422331913,0.6365204618554369,0.0,0.0
T0,2026,5101,audio+vision,early,0.35,696,32,15,200,174,322,8.267241379310345,0.3529452714506518,0.3514217322550645,2.9152298850574714,24,0.5991379310344828,0.5735579479000531,0.593547982559807,0.6352622020760248,0.0,0.0
T0,2026,5101,audio+vision,early,0.55,691,37,15,199,172,320,13.015918958031838,0.5508422846704517,0.5496021750273932,1.6946454413892909,266,0.6005788712011577,0.5748432267884322,0.5947166997427188,0.6357676902470888,0.0,0.0
T0,2026,5101,audio+vision,middle,0.15,695,33,15,199,174,322,3.535971223021583,0.15252749392768675,0.15107957931924487,3.6158273381294963,10,0.5985611510791367,0.5734684817825142,0.5948819428039112,0.6360417621577845,0.0,0.0
T0,2026,5101,audio+vision,middle,0.35,700,28,15,202,174,324,8.241428571428571,0.35223692190522016,0.35117329220756244,3.6142857142857143,8,0.5985714285714285,0.5736260358185871,0.5955106531296458,0.6356467048904482,0.0,0.0
T0,2026,5101,audio+vision,middle,0.55,698,30,15,202,174,322,12.920487106017193,0.5513866857180376,0.5503155263821218,3.6361031518624642,11,0.5988538681948424,0.574044439181765,0.5961770386699278,0.635824289800067,0.0,0.0
T0,2026,5101,audio+vision,late,0.15,692,36,15,199,173,320,3.533959537572254,0.1538403438940439,0.1516506529271782,3.5,7,0.5982658959537572,0.5738000765372918,0.594834052629209,0.6329116488028831,0.0,0.0
T0,2026,5101,audio+vision,late,0.35,699,29,15,200,175,324,8.23319027181688,0.351389899409736,0.351272858380252,2.9785407725321886,18,0.597997138769671,0.5724154351819463,0.5960082239944365,0.6348356009891865,0.0,0.0
T0,2026,5101,audio+vision,late,0.55,699,29,15,200,175,324,12.881258941344779,0.549146277095072,0.5502762229921914,1.8454935622317596,194,0.597997138769671,0.5724154351819463,0.5955313522587177,0.6350543609658318,0.0,0.0
T0,2026,5101,text+audio+vision,early,0.15,695,33,15,201,174,320,3.5419664268585134,0.15276829340003165,0.15162910284899678,3.479136690647482,9,0.5841726618705037,0.5536959080115283,0.6123093352257777,0.5872616805980502,0.019015912893864728,-0.020018158745553127
T0,2026,5101,text+audio+vision,early,0.35,696,32,15,200,174,322,8.300766283524904,0.3526454006882701,0.3514217322550645,2.9123563218390807,24,0.5359195402298851,0.5135982963995857,0.6554499879565047,0.49813269541288585,0.06190200539669766,-0.05995965150046745
T0,2026,5101,text+audio+vision,early,0.55,691,37,15,199,172,320,13.065605402797878,0.5506184022633698,0.5496021750273932,1.683068017366136,266,0.5108538350217077,0.49155472321257687,0.6866828664253141,0.4288195408215148,0.09196616668259527,-0.08328850357585538
T0,2026,5101,text+audio+vision,middle,0.15,695,33,15,199,174,322,3.5458033573141488,0.15204657152177292,0.15107957931924487,3.579856115107914,10,0.5582733812949641,0.5254878217821071,0.6312792098565068,0.565049149829866,0.036397267052595605,-0.04798066000040713
T0,2026,5101,text+audio+vision,middle,0.35,700,28,15,202,174,324,8.282857142857143,0.35207539451912573,0.35117329220756244,3.6342857142857143,8,0.55,0.5234464398984406,0.6444308667523521,0.5170117335800511,0.048920213622706266,-0.050179595920146425
T0,2026,5101,text+audio+vision,middle,0.55,698,30,15,202,174,322,12.972301814708691,0.5507559093923993,0.5503155263821218,3.650429799426934,11,0.49426934097421205,0.4873471584926493,0.6987673824274095,0.37712282520330953,0.10259034375748177,-0.08669728068911564
T0,2026,5101,text+audio+vision,late,0.15,692,36,15,199,173,320,3.551059730250482,0.15288239945105597,0.1516506529271782,3.4696531791907512,7,0.5751445086705202,0.5624559779909014,0.6183614637379702,0.5933242659553913,0.02352741110876122,-0.011344098546390402
