missing_mode,position,missing_rate,mean_removed_steps,n,accuracy,macro_f1,mae,pearson_r
text+vision,middle,0.35,8.044642857142858,728,0.5810439560439561,0.561003730476347,0.6259996294975281,0.5869030952453613
text+vision,middle,0.55,12.585164835164836,728,0.570054945054945,0.5472446658689691,0.6321712136268616,0.5683568716049194
text+vision,late,0.15,3.4107142857142856,728,0.5782967032967034,0.5644305296391499,0.6277400851249695,0.5910358428955078
text+vision,late,0.35,8.008241758241759,728,0.5824175824175825,0.5681854758985109,0.632061779499054,0.5907778739929199
text+vision,late,0.55,12.552197802197803,728,0.5618131868131868,0.5482700212561881,0.6556893587112427,0.5340322852134705
audio+vision,early,0.15,3.430631868131868,728,0.592032967032967,0.5790351683267918,0.6086059212684631,0.620151162147522
audio+vision,early,0.35,8.04326923076923,728,0.6153846153846154,0.5982940947316953,0.605749249458313,0.6242532730102539
audio+vision,early,0.55,12.587912087912088,728,0.6085164835164835,0.5939364748695378,0.6034290790557861,0.6239450573921204
audio+vision,middle,0.15,3.4251373626373627,728,0.5989010989010989,0.5826134286302059,0.6121739149093628,0.6157190799713135
audio+vision,middle,0.35,8.032967032967033,728,0.614010989010989,0.5970944833085683,0.6055266261100769,0.6232682466506958
audio+vision,middle,0.55,12.567307692307692,728,0.6222527472527473,0.6049299915262912,0.6045019030570984,0.6261704564094543
audio+vision,late,0.15,3.40728021978022,728,0.5975274725274725,0.5832155027851297,0.6138676404953003,0.611602246761322
audio+vision,late,0.35,7.99793956043956,728,0.5906593406593407,0.5761255972875827,0.6200743317604065,0.6077425479888916
audio+vision,late,0.55,12.535714285714286,728,0.5961538461538461,0.58339056664361,0.6119360327720642,0.612989068031311
text+audio+vision,early,0.15,3.462912087912088,728,0.5851648351648352,0.5683901991305927,0.6145972013473511,0.6164101362228394
text+audio+vision,early,0.35,8.11996336996337,728,0.5824175824175825,0.5530241876670025,0.6575254201889038,0.5532701015472412
text+audio+vision,early,0.55,12.707417582417582,728,0.5673076923076923,0.5354493905839689,0.6698736548423767,0.5348350405693054
text+audio+vision,middle,0.15,3.4592490842490844,728,0.5947802197802198,0.5768411888315965,0.6161370873451233,0.6018809080123901
text+audio+vision,middle,0.35,8.113095238095237,728,0.5961538461538461,0.5758728596185422,0.6182608008384705,0.5957220792770386
text+audio+vision,middle,0.55,12.69368131868132,728,0.5906593406593407,0.567043422733078,0.6239181160926819,0.5880635976791382
text+audio+vision,late,0.15,3.447344322344323,728,0.5837912087912088,0.5685662074525847,0.6265440583229065,0.5892499685287476
text+audio+vision,late,0.35,8.08974358974359,728,0.5851648351648352,0.5706441405692999,0.625060498714447,0.5966867804527283
text+audio+vision,late,0.55,12.67261904761905,728,0.5604395604395604,0.5429405118346431,0.6440691351890564,0.5443244576454163
